"ensemblgene"	"entrezgene"	"gene_name"	"path_description"	"path_ID"
"ENSG00000103174"	"51172"	"NAGPA"	"Lysosome"	"path:hsa04142"
"ENSG00000104774"	"4125"	"MAN2B1"	"Lysosome"	"path:hsa04142"
"ENSG00000100077"	"157"	"GRK3"	"Endocytosis"	"path:hsa04144"
"ENSG00000187840"	"1978"	"EIF4EBP1"	"mTOR signaling pathway"	"path:hsa04150"
"ENSG00000117560"	"356"	"FASLG"	"Apoptosis"	"path:hsa04210"
"ENSG00000131143"	"1327"	"COX4I1"	"Cardiac muscle contraction"	"path:hsa04260"
"ENSG00000178741"	"9377"	"COX5A"	"Cardiac muscle contraction"	"path:hsa04260"
"ENSG00000106483"	"6424"	"SFRP4"	"Wnt signaling pathway"	"path:hsa04310"
"ENSG00000117362"	"51107"	"APH1A"	"Notch signaling pathway"	"path:hsa04330"
"ENSG00000116711"	"5321"	"PLA2G4A"	"VEGF signaling pathway"	"path:hsa04370"
"ENSG00000139219"	"1280"	"COL2A1"	"Focal adhesion"	"path:hsa04510"
"ENSG00000276231"	"146850"	"PIK3R6"	"Platelet activation"	"path:hsa04611"
"ENSG00000116711"	"5321"	"PLA2G4A"	"Platelet activation"	"path:hsa04611"
"ENSG00000123213"	"57486"	"NLN"	"Renin-angiotensin system"	"path:hsa04614"
"ENSG00000103522"	"50615"	"IL21R"	"JAK-STAT signaling pathway"	"path:hsa04630"
"ENSG00000116711"	"5321"	"PLA2G4A"	"Fc gamma R-mediated phagocytosis"	"path:hsa04666"
"ENSG00000162302"	"8986"	"RPS6KA4"	"TNF signaling pathway"	"path:hsa04668"
"ENSG00000116711"	"5321"	"PLA2G4A"	"Glutamatergic synapse"	"path:hsa04724"
"ENSG00000100077"	"157"	"GRK3"	"Glutamatergic synapse"	"path:hsa04724"
"ENSG00000288461"	"23191"	"CYFIP1"	"Regulation of actin cytoskeleton"	"path:hsa04810"
"ENSG00000027644"	"3645"	"INSRR"	"Regulation of actin cytoskeleton"	"path:hsa04810"
"ENSG00000280618"	"23191"	"CYFIP1"	"Regulation of actin cytoskeleton"	"path:hsa04810"
"ENSG00000273749"	"23191"	"CYFIP1"	"Regulation of actin cytoskeleton"	"path:hsa04810"
"ENSG00000109819"	"10891"	"PPARGC1A"	"Insulin signaling pathway"	"path:hsa04910"
"ENSG00000141349"	"92579"	"G6PC3"	"Insulin signaling pathway"	"path:hsa04910"
"ENSG00000187840"	"1978"	"EIF4EBP1"	"Insulin signaling pathway"	"path:hsa04910"
"ENSG00000141349"	"92579"	"G6PC3"	"Insulin resistance"	"path:hsa04931"
"ENSG00000109819"	"10891"	"PPARGC1A"	"Insulin resistance"	"path:hsa04931"
"ENSG00000117560"	"356"	"FASLG"	"Type I diabetes mellitus"	"path:hsa04940"
"ENSG00000008394"	"4257"	"MGST1"	"Chemical carcinogenesis - receptor activation"	"path:hsa05207"
"ENSG00000187840"	"1978"	"EIF4EBP1"	"Chemical carcinogenesis - receptor activation"	"path:hsa05207"
"ENSG00000027644"	"3645"	"INSRR"	"Prostate cancer"	"path:hsa05215"
"ENSG00000084207"	"2950"	"GSTP1"	"Prostate cancer"	"path:hsa05215"
"ENSG00000196730"	"1612"	"DAPK1"	"Bladder cancer"	"path:hsa05219"
"ENSG00000182578"	"1436"	"CSF1R"	"Acute myeloid leukemia"	"path:hsa05221"
"ENSG00000187840"	"1978"	"EIF4EBP1"	"Acute myeloid leukemia"	"path:hsa05221"
"ENSG00000008394"	"4257"	"MGST1"	"Hepatocellular carcinoma"	"path:hsa05225"
"ENSG00000084207"	"2950"	"GSTP1"	"Hepatocellular carcinoma"	"path:hsa05225"
